<0$,6,other_credits_existing_other_bank,radio_television,1169,no_savings,>=7years,4,A93,no,4,real_estate,67,no,own,2,skilled,1,yes,yes,1
>0<200$,48,existing_credits_paid_back_duly_till_now,radio_television,5951,<100$,>1year<=4years,2,A92,no,2,real_estate,22,no,own,1,skilled,1,no,yes,2
no_savings,12,other_credits_existing_other_bank,education,2096,<100$,>4years<=7years,2,A93,no,3,real_estate,49,no,own,1,unskilled,2,no,yes,1
<0$,42,existing_credits_paid_back_duly_till_now,furniture/equipment,7882,<100$,>4years<=7years,2,A93,guarantor,4,life_insurance,45,no,for_free,1,skilled,2,no,yes,1
<0$,24,delay_pay_past,car_new,4870,<100$,>1year<=4years,3,A93,no,4,no_property,53,no,for_free,2,skilled,2,no,yes,2
no_savings,36,existing_credits_paid_back_duly_till_now,education,9055,no_savings,>1year<=4years,2,A93,no,4,no_property,35,no,for_free,1,unskilled,2,yes,yes,1
no_savings,24,existing_credits_paid_back_duly_till_now,furniture/equipment,2835,>500<1000,>=7years,3,A93,no,4,life_insurance,53,no,own,1,skilled,1,no,yes,1
>0<200$,36,existing_credits_paid_back_duly_till_now,car_used,6948,<100$,>1year<=4years,2,A93,no,2,car_other,35,no,rent,1,self-employed,1,yes,yes,1
no_savings,12,existing_credits_paid_back_duly_till_now,radio_television,3059,>=1000,>4years<=7years,2,A91,no,4,real_estate,61,no,own,1,unskilled,1,no,yes,1
>0<200$,30,other_credits_existing_other_bank,car_new,5234,<100$,unemployed,4,A94,no,2,car_other,28,no,own,2,self-employed,1,no,yes,2
>0<200$,12,existing_credits_paid_back_duly_till_now,car_new,1295,<100$,<1year,3,A92,no,1,car_other,25,no,rent,1,skilled,1,no,yes,2
<0$,48,existing_credits_paid_back_duly_till_now,business,4308,<100$,<1year,3,A92,no,4,life_insurance,24,no,rent,1,skilled,1,no,yes,2
>0<200$,12,existing_credits_paid_back_duly_till_now,radio_television,1567,<100$,>1year<=4years,1,A92,no,1,car_other,22,no,own,1,skilled,1,yes,yes,1
<0$,24,other_credits_existing_other_bank,car_new,1199,<100$,>=7years,4,A93,no,4,car_other,60,no,own,2,unskilled,1,no,yes,2
<0$,15,existing_credits_paid_back_duly_till_now,car_new,1403,<100$,>1year<=4years,2,A92,no,4,car_other,28,no,rent,1,skilled,1,no,yes,1
<0$,24,existing_credits_paid_back_duly_till_now,radio_television,1282,>100<500,>1year<=4years,4,A92,no,2,car_other,32,no,own,1,unskilled,1,no,yes,2
no_savings,24,other_credits_existing_other_bank,radio_television,2424,no_savings,>=7years,4,A93,no,4,life_insurance,53,no,own,2,skilled,1,no,yes,1
<0$,30,no_credits_taken,business,8072,no_savings,<1year,2,A93,no,3,car_other,25,bank,own,3,skilled,1,no,yes,1
>0<200$,24,existing_credits_paid_back_duly_till_now,car_used,12579,<100$,>=7years,4,A92,no,2,no_property,44,no,for_free,1,self-employed,1,yes,yes,2
no_savings,24,existing_credits_paid_back_duly_till_now,radio_television,3430,>500<1000,>=7years,3,A93,no,2,car_other,31,no,own,1,skilled,2,yes,yes,1
no_savings,9,other_credits_existing_other_bank,car_new,2134,<100$,>1year<=4years,4,A93,no,4,car_other,48,no,own,3,skilled,1,yes,yes,1
